EmbeddingSimilarity,nll-test,
1,-0.005954844705903258,2.3216012,
6,-0.0053392501032455955,1.7187995,
11,-0.005562580645472099,1.5534129,
16,-0.005642705909340826,1.4528311,
21,-0.01899208415872292,1.6346747,
26,-0.005489470745758408,1.3925023,
31,-0.009453436141384733,1.3504174,
36,-0.005232830007890037,1.3025303,
41,-0.03240744625002756,2.0342479,
46,-0.005572776105860725,1.3239512,
51,-0.005237289291444985,1.2989461,
56,-0.005111344322338812,1.2938119,
61,-0.005376812822960666,1.2670285,
66,-0.005461152819576645,1.2573555,
71,-0.005192810265834998,1.2758431,
76,-0.005236688379700318,1.2554704,
81,-0.005313947199025497,1.2531068,
82,-0.005168814326622956,1.2430449,
83,-0.0051747148104992905,1.233727,
84,-0.005213445657268918,1.2272826,
85,-0.00519820616687289,1.2129592,
86,-0.0052735383683723495,1.2051499,
87,-0.005281758371815358,1.206089,
88,-0.005491889608801733,1.1996415,
89,-0.005534186219421939,1.1972615,
90,-0.005299115812981211,1.1953044,
131,-0.005157772816083101,1.2144572,
132,-0.005437462892095708,1.1790683,
133,-0.005379121083303665,1.1697967,
134,-0.005379376842996636,1.1649874,
135,-0.005488202442599708,1.1597328,
136,-0.0054543402290177815,1.1533211,
137,-0.006127632633267804,1.1482674,
138,-0.005977763958378248,1.146946,
139,-0.005893712968006051,1.1453245,
140,-0.00573496625964289,1.1417885,
