EmbeddingSimilarity,nll-test,
1,-0.007602569181984691,2.5116177,
6,-0.005707797135381871,1.9080424,
11,-0.005702162553044739,1.7574576,
16,-0.005432528228589882,1.7005861,
21,-0.005632939507537206,1.6712888,
26,-0.005430063525693324,1.6470208,
31,-0.005549834240687322,1.6397724,
36,-0.005817544541061682,1.6355494,
41,-0.005609306305065937,1.6184347,
46,-0.005617269502642435,1.6128736,
51,-0.005673726131672628,1.6028116,
56,-0.00553345383686737,1.595937,
61,-0.005574248993967237,1.588163,
66,-0.005443723777478665,1.5795753,
71,-0.005553433831613088,1.5748662,
76,-0.005672046594791353,1.5744915,
81,-0.0055234515794275385,1.5696877,
86,-0.005685492130357292,1.5863713,
91,-0.006132330959615866,1.6091892,
96,-0.005882789161543919,1.6221967,
101,-0.005966170112341037,1.635088,
106,-0.006092901649655124,1.6535736,
111,-0.006014749853080924,1.6758071,
116,-0.006114466103277539,1.6892055,
121,-0.006306580772709548,1.7041545,
126,-0.006094125523412574,1.7123905,
131,-0.006357829328957675,1.725294,
136,-0.006651544685958535,1.7421046,
141,-0.006622367101028713,1.7578739,
146,-0.006737343954526353,1.768303,
151,-0.006720229997706272,1.7727607,
156,-0.006846667583448759,1.7871792,
161,-0.006905465024111728,1.8036873,
166,-0.007119911757902001,1.8228056,
171,-0.007417057662331142,1.8380829,
176,-0.0075676107255914045,1.8467926,
180,-0.00719520351359951,1.8502338,
