epochs, EmbeddingSimilarity,nll-test,
1,-0.00724900468133959,2.5191967,
6,-0.005392224846395576,1.9257061,
11,-0.005230760839331735,1.7611487,
16,-0.005133052420767185,1.6870289,
21,-0.005273237583673724,1.6513115,
26,-0.005213051716010591,1.6271238,
31,-0.005187234606906909,1.6183997,
36,-0.005188208517587123,1.6097815,
41,-0.005174697632630613,1.60382,
46,-0.005173531938127291,1.5955764,
51,-0.005127670522118665,1.5988673,
56,-0.005129275800747311,1.5939271,
61,-0.004991932981230891,1.5851378,
66,-0.005105796893305879,1.5824159,
71,-0.005054774494315357,1.5771244,
76,-0.005098644038058694,1.5780046,
81,-0.0050214820393742,1.5783455,
86,-0.0051509697360876865,1.609576,
91,-0.005391116097970574,1.6420401,
96,-0.005468476918915297,1.6650182,
101,-0.005629896181455858,1.68578,
106,-0.0056268347025593595,1.7006363,
111,-0.005576221365432374,1.7134217,
116,-0.005574176246923518,1.7275243,
121,-0.005660027926079807,1.7456468,
126,-0.005656326352876759,1.7575672,
131,-0.005816578049575438,1.7678447,
136,-0.005825160759653123,1.7766974,
141,-0.005941750636583458,1.7878369,
146,-0.006046117865111457,1.8001206,
151,-0.006066805876455954,1.8092062,
156,-0.006152309866056359,1.8189193,
161,-0.006075888095948366,1.8317218,
166,-0.0062810927164966,1.8509976,
171,-0.006156045330802341,1.8607515,
176,-0.006291579587896468,1.8696425,
180,-0.006293731724968011,1.8777095,
